Date,Bonds_10year,NASDAQ_100,NIKKEI_225,XAU_USD
1979-12-27,10.46,150.229996,6528.830078,515.5
1979-12-28,10.41,150.830002,6569.470215,512.0
1980-01-04,10.66,148.020004,6560.160156,634.25
1980-01-07,10.63,148.619995,6552.649902,634.0
1980-01-08,10.57,150.679993,6563.279785,610.0
1980-01-09,10.58,151.600006,6591.830078,607.2
1980-01-10,10.51,153.119995,6594.009765999999,603.35
1980-01-11,10.68,153.869995,6615.509765999999,623.0
1980-01-14,10.7,154.399994,6659.549805,660.0
1980-01-16,10.65,155.990005,6653.259765999999,760.0
1980-01-17,10.71,155.809998,6656.299805,750.0
1980-01-18,10.82,156.139999,6649.299805,835.0
1980-01-21,10.96,157.350006,6666.27002,835.0
1980-01-22,10.85,156.919998,6684.589844,737.5
1980-01-23,10.82,158.5,6694.189941,695.0
1980-01-24,11.01,159.240005,6746.930176000001,717.0
1980-01-25,11.1,159.699997,6767.709961,668.0
1980-01-28,11.15,160.699997,6763.609863,624.0
1980-01-29,11.21,160.28999299999998,6770.830078,674.25
1980-01-30,11.16,161.300003,6776.600098000001,691.0
1980-01-31,11.13,161.75,6768.160156,653.0
1980-02-01,11.29,162.300003,6777.640137,676.5
1980-02-04,11.4,162.020004,6794.209961,669.75
1980-02-05,11.73,162.199997,6765.120117,669.75
1980-02-06,11.92,162.990005,6800.330078,709.0
1980-02-07,11.71,163.770004,6795.620117,699.25
1980-02-08,11.8,165.25,6816.029785,692.0
1980-02-13,11.86,164.979996,6835.990234000001,696.75
1980-02-14,11.97,163.53999299999998,6839.859863,682.0
1980-02-15,12.2,162.559998,6827.709961,667.0
1980-02-19,12.85,161.059998,6763.089844,652.25
1980-02-20,12.84,162.100006,6806.009765999999,652.25
1980-02-21,13.22,161.309998,6776.509765999999,665.0
1980-02-22,13.06,160.080002,6783.220215,630.0
1980-02-25,13.27,157.970001,6751.290039,616.5
1980-02-26,13.65,158.5,6739.430176000001,642.25
1980-02-27,13.46,157.729996,6777.339844,636.0
1980-02-28,12.92,157.46000700000002,6743.990234000001,646.0
1980-02-29,12.72,158.029999,6764.890137,637.0
1980-03-03,12.79,156.869995,6793.560059,663.75
1980-03-04,12.91,155.389999,6778.27002,631.25
1980-03-05,13.03,152.940002,6794.040039,643.5
1980-03-06,13.13,148.639999,6736.089844,643.5
1980-03-07,12.86,146.190002,6625.180176,609.0
1980-03-10,12.63,143.75,6507.160156,585.0
1980-03-11,12.41,144.559998,6535.669922,570.25
1980-03-12,12.62,144.630005,6609.459961,585.7
1980-03-13,12.5,144.979996,6604.390136999999,556.5
1980-03-14,12.52,144.440002,6593.399902,523.0
1980-03-17,12.58,139.699997,6562.660156,484.0
1980-03-18,12.4,138.919998,6578.209961,481.5
1980-03-19,12.35,139.970001,6584.759765999999,527.0
1980-03-20,12.62,139.639999,6584.759765999999,561.0
1980-03-21,12.75,138.800003,6571.77002,561.0
1980-03-24,13.17,134.610001,6567.25,558.25
1980-03-25,13.1,132.520004,6531.259765999999,547.25
1980-03-26,13.03,132.220001,6535.879883,508.0
1980-03-27,12.97,124.089996,6481.02002,485.25
1980-03-28,12.72,129.25,6475.930176,490.0
1980-03-31,12.64,131.0,6556.189941,495.0
1980-04-01,12.69,133.139999,6502.799805,509.5
1980-04-02,12.63,135.800003,6562.990234000001,500.5
1980-04-03,12.52,136.009995,6614.200195,485.75
1980-04-07,12.13,133.399994,6737.060059,485.75
1980-04-08,12.21,134.369995,6682.540039,528.0
1980-04-09,12.06,136.03999299999998,6708.240234000001,554.0
1980-04-10,12.06,137.279999,6730.509765999999,526.0
1980-04-11,11.79,137.75,6751.959961,530.5
1980-04-14,11.62,136.669998,6808.169922,529.75
1980-04-15,11.57,136.389999,6805.779785,497.5
1980-04-16,10.9,135.759995,6770.370117,520.0
1980-04-17,11.13,134.550003,6798.779785,513.0
1980-04-18,11.05,134.66000400000001,6811.390137,515.6
1980-04-21,10.9,133.080002,6810.669922,506.0
1980-04-22,10.82,135.71000700000002,6799.009765999999,506.0
1980-04-23,10.89,136.919998,6843.850098000001,506.5
1980-04-24,10.96,138.690002,6830.310059,515.7
1980-04-25,10.95,137.919998,6904.810059,551.5
1980-04-28,10.63,138.53999299999998,6875.660156,524.25
1980-04-30,10.76,139.990005,6865.560059,518.0
1980-05-01,10.57,139.679993,6865.080078,490.0
1980-05-02,10.24,140.25,6882.649901999999,512.5
1980-05-06,9.8,142.229996,6856.080078,512.5
1980-05-07,9.96,143.580002,6834.839844,512.5
1980-05-08,10.18,143.259995,6757.700195,515.75
1980-05-09,10.3,143.059998,6808.379883,508.25
1980-05-12,10.3,142.96000700000002,6754.939941,513.25
1980-05-13,10.13,144.100006,6766.939941,512.0
1980-05-14,10.14,145.66000400000001,6747.740234000001,525.0
1980-05-15,10.31,146.619995,6746.509765999999,517.0
1980-05-16,10.37,147.240005,6733.0,516.5
1980-05-19,10.53,147.240005,6634.330078,514.25
1980-05-20,10.22,146.929993,6707.299805,507.75
1980-05-21,10.08,146.75,6822.180176000001,513.5
1980-05-22,10.1,147.96000700000002,6836.890137,513.5
1980-05-23,9.85,149.479996,6839.890137,511.25
1980-05-27,9.96,150.100006,6826.5,514.8
1980-05-28,10.1,150.699997,6849.049805,526.5
1980-05-29,10.24,150.08999599999999,6841.399901999999,519.6
1980-05-30,10.25,150.449997,6855.700195,535.5
1980-06-02,10.31,150.169998,6862.700195,561.5
1980-06-03,10.16,149.919998,6826.180176000001,552.5
1980-06-04,10.07,151.21000700000002,6795.629883,571.5
1980-06-05,10.02,152.21000700000002,6821.240234000001,581.75
1980-06-06,9.81,152.679993,6814.5,581.75
1980-06-09,9.73,153.0,6823.040039,623.75
1980-06-10,9.83,154.149994,6783.240234000001,604.0
1980-06-11,9.7,155.220001,6826.009765999999,596.0
1980-06-12,9.53,155.309998,6814.720215,590.0
1980-06-13,9.51,156.58999599999999,6821.810059,608.4
1980-06-16,9.47,156.78999299999998,6852.609863,590.0
1980-06-17,9.49,156.979996,6798.5,591.75
1980-06-18,9.56,157.190002,6824.950195,602.5
1980-06-19,9.56,156.729996,6791.879883,599.0
1980-06-20,9.49,156.509995,6813.850098000001,602.5
1980-06-23,9.63,156.990005,6860.890137,602.5
1980-06-24,9.68,157.66000400000001,6806.370117,603.0
1980-06-25,9.79,158.740005,6761.25,622.5
1980-06-26,9.87,159.0,6800.529785,624.5
1980-06-27,10.04,159.179993,6825.029785,637.5
1980-06-30,10.09,157.779999,6870.700195,653.5
1980-07-01,10.13,158.169998,6824.350098000001,660.0
1980-07-02,10.19,159.179993,6819.450195,661.5
1980-07-03,10.01,160.869995,6863.839844,663.5
1980-07-07,10.2,163.630005,6708.490234000001,667.5
1980-07-08,10.09,163.580002,6755.540039,687.5
1980-07-09,10.14,164.08999599999999,6789.709961,671.0
1980-07-10,10.21,163.83999599999999,6794.240234000001,656.5
1980-07-11,10.28,164.820007,6787.959961,666.7
1980-07-14,10.33,166.520004,6779.359863,650.0
