,Nasdaq Predicted Returns
0,-0.19542436
1,-0.19890004
2,-0.20040287
3,-0.20026521
4,-0.19534375
5,-0.1837516
6,-0.16718324
7,-0.14753696
8,-0.12539385
9,-0.100940965
10,-0.07720984
11,-0.05454575
12,-0.035496503
13,-0.01849235
14,-0.0025704475
15,0.012213689
16,0.024956537
17,0.03413245
18,0.042242087
19,0.051375415
20,0.060872275
21,0.07245682
22,0.08698162
23,0.103218384
24,0.11952968
25,0.13546604
26,0.15005623
27,0.16091675
28,0.16573173
29,0.16437492
30,0.15726615
31,0.14700647
32,0.13324906
33,0.11654913
34,0.09884908
35,0.082735516
36,0.06750114
37,0.05229795
38,0.036493167
39,0.01717089
40,-0.0057464624
41,-0.030249538
42,-0.056993164
43,-0.08393986
44,-0.1078056
45,-0.12664114
46,-0.14328098
47,-0.1571152
48,-0.17259525
49,-0.18552062
50,-0.1904109
51,-0.19010364
52,-0.18744935
53,-0.1836071
54,-0.17755625
55,-0.16923061
56,-0.16808371
57,-0.17077678
58,-0.17587242
59,-0.18623933
60,-0.20276968
61,-0.22805306
62,-0.26604432
63,-0.31501094
64,-0.37546396
65,-0.44237396
66,-0.49724314
67,-0.5353857
68,-0.5640497
69,-0.58014804
70,-0.5833933
71,-0.5711722
72,-0.5486465
73,-0.5241609
74,-0.50187784
75,-0.48599854
76,-0.47948527
77,-0.47124788
78,-0.4557876
79,-0.4290706
80,-0.39007774
81,-0.34074455
82,-0.2815084
83,-0.22125232
84,-0.16957818
85,-0.12770893
86,-0.09727365
87,-0.079754606
88,-0.0788739
89,-0.08630666
90,-0.10165131
91,-0.124752715
92,-0.15293756
93,-0.18946782
94,-0.23761381
95,-0.28920275
96,-0.3314964
97,-0.35933444
98,-0.36687213
99,-0.3542221
100,-0.3338191
101,-0.30838054
102,-0.27724633
103,-0.24478571
104,-0.20908672
105,-0.16654819
106,-0.1195278
107,-0.06986607
108,-0.02392793
109,0.017141989
110,0.050307617
111,0.080040924
112,0.10701195
113,0.12926915
114,0.14669769
115,0.15724638
116,0.16000105
117,0.15583634
118,0.14656536
119,0.132595
120,0.11783824
121,0.10597762
122,0.10164787
123,0.10502086
124,0.11589202
125,0.12894821
126,0.1420219
127,0.15065098
128,0.15114532
129,0.14365324
130,0.12598059
131,0.10094589
132,0.07284774
133,0.039009035
134,0.0050935135
135,-0.02825008
136,-0.058855727
137,-0.08438249
138,-0.10274421
139,-0.11002866
140,-0.10946966
141,-0.10569358
142,-0.09986937
143,-0.09138782
144,-0.0806528
145,-0.0663364
146,-0.045936435
147,-0.020119907
148,0.0048706755
149,0.026221314
150,0.04342473
151,0.055922683
152,0.059713975
153,0.054386392
154,0.03982205
155,0.01800292
156,-0.011930413
157,-0.043851797
158,-0.074862815
159,-0.10511101
160,-0.13453174
161,-0.16601124
162,-0.19908561
163,-0.22925092
164,-0.2577415
165,-0.28427598
166,-0.30956545
167,-0.32546455
168,-0.3281599
169,-0.31370053
170,-0.2830675
171,-0.24197094
172,-0.1913646
173,-0.13271785
174,-0.07027904
175,-0.010117286
176,0.05049775
177,0.107980125
178,0.16021629
179,0.20904523
180,0.2512126
181,0.28198558
182,0.30172995
183,0.31285208
184,0.3201814
185,0.3266863
186,0.33192718
187,0.33231127
188,0.3283899
189,0.32443208
190,0.32165
191,0.31807014
192,0.31253493
193,0.3070735
194,0.30214596
195,0.29350016
196,0.28193688
197,0.26819927
198,0.25322348
199,0.24010111
200,0.2287744
201,0.21844321
202,0.21071461
203,0.20584488
204,0.20322709
205,0.20439376
206,0.20823069
207,0.21349362
208,0.21633652
209,0.216389
210,0.21308522
211,0.20558248
212,0.1911216
213,0.17143501
214,0.14792977
215,0.12547255
216,0.10645372
217,0.091249004
218,0.07772888
219,0.06478754
220,0.055588044
221,0.049783602
222,0.047893662
223,0.050646055
224,0.060325447
225,0.07655765
226,0.09669447
227,0.11937073
228,0.14250636
229,0.16371934
230,0.18230693
231,0.19709107
232,0.20790213
233,0.21442908
234,0.21441388
235,0.20659932
236,0.1923955
237,0.17360483
238,0.1531714
239,0.12961292
240,0.103346914
241,0.07723682
242,0.055188
243,0.039133
244,0.029519776
245,0.025095716
246,0.025053887
247,0.025515534
248,0.024225658
249,0.018251617
250,0.007485412
251,-0.00657393
252,-0.022005286
253,-0.035050828
254,-0.043722503
255,-0.044090606
256,-0.034794524
257,-0.017203996
258,0.007238997
259,0.03619808
260,0.06737337
261,0.100673616
262,0.13396397
263,0.16511188
264,0.19266245
265,0.21499568
266,0.23207894
267,0.24353647
268,0.25090078
269,0.25492176
270,0.25497195
271,0.2500026
272,0.24151953
273,0.23013955
274,0.2154193
275,0.1992875
276,0.18342112
277,0.1673973
278,0.14849941
279,0.12774199
280,0.10694883
281,0.08833918
282,0.07443118
283,0.06553971
284,0.061325558
285,0.0607909
286,0.062884666
287,0.06652613
288,0.069750056
289,0.06958122
290,0.06520127
291,0.057884116
292,0.050618675
293,0.045712434
294,0.044872038
295,0.049137145
296,0.057592828
297,0.0692192
298,0.082990296
299,0.09889471
300,0.11550034
301,0.13159032
302,0.14619726
303,0.15880473
304,0.16812971
305,0.1725013
306,0.17086309
307,0.16549368
308,0.15753539
309,0.14780731
310,0.1339404
311,0.11546079
312,0.094361134
313,0.07415131
314,0.05693572
315,0.044129748
316,0.036547165
317,0.033716436
318,0.034613874
319,0.0395262
320,0.047616065
321,0.056830768
322,0.066603705
323,0.07554385
324,0.08220922
325,0.08672227
326,0.08871412
327,0.08768207
328,0.082646534
329,0.07128711
330,0.055913556
331,0.036097687
332,0.013299741
333,-0.010196382
334,-0.032596566
335,-0.050109517
336,-0.06105521
337,-0.06348133
338,-0.058092147
339,-0.045937195
340,-0.029832002
341,-0.011253532
342,0.009526701
343,0.031554982
344,0.052958857
345,0.07064217
346,0.08282298
347,0.09062764
348,0.094581686
349,0.0956396
350,0.09279366
351,0.08657092
352,0.079303965
353,0.07264619
354,0.066703334
355,0.062438227
356,0.05972234
357,0.057431594
358,0.055477764
359,0.054035023
360,0.05299232
361,0.05315584
362,0.054022092
363,0.055392586
364,0.055718858
365,0.055900626
366,0.057379875
367,0.06101602
368,0.06727982
369,0.07624279
370,0.08721738
371,0.09889243
372,0.11013473
373,0.118999586
374,0.12631902
375,0.13222158
376,0.13623798
377,0.13807316
378,0.13841009
379,0.13730046
380,0.13349396
381,0.12795115
382,0.12167516
383,0.11393363
384,0.10613429
385,0.09764058
386,0.08729039
387,0.07243857
388,0.053430393
389,0.031358764
390,0.0087182475
391,-0.014539064
392,-0.038949355
393,-0.06250632
394,-0.08275722
395,-0.09841522
396,-0.112054735
397,-0.12364993
398,-0.13363506
399,-0.1406807
400,-0.1443754
401,-0.14333194
402,-0.13728717
403,-0.12552619
404,-0.108370684
405,-0.08657057
406,-0.061709274
407,-0.035749763
408,-0.01172887
409,0.009751821
410,0.02813027
411,0.043306086
412,0.05685358
413,0.06949756
414,0.08117261
415,0.092014104
416,0.10317579
417,0.11475045
418,0.12645136
419,0.1382732
420,0.14991477
421,0.1605532
422,0.16912754
423,0.17561418
424,0.18026869
425,0.18309256
426,0.18325381
427,0.1813958
428,0.17865406
429,0.1746924
430,0.16930702
431,0.16240056
432,0.15447953
433,0.14612804
434,0.13710424
435,0.12763171
436,0.11904141
437,0.11203837
438,0.10637919
439,0.10190949
440,0.09897685
441,0.097472504
442,0.09726031
443,0.09941644
444,0.10408387
445,0.10911941
446,0.11314723
447,0.11621905
448,0.11835617
449,0.12000122
450,0.12156489
451,0.12264638
452,0.120846175
453,0.11554521
454,0.10868666
455,0.09932974
456,0.08920391
457,0.076320365
458,0.059754282
459,0.03677609
460,0.005802337
461,-0.026487147
462,-0.055971
463,-0.078236565
464,-0.09316673
465,-0.10334352
466,-0.1098332
467,-0.11489383
468,-0.120117985
469,-0.1298179
470,-0.14316158
471,-0.1590812
472,-0.1758686
473,-0.19237612
474,-0.20342678
475,-0.20799686
476,-0.20776185
477,-0.20116875
478,-0.18757787
479,-0.17169628
480,-0.1580347
481,-0.14827241
482,-0.14290528
483,-0.13835801
484,-0.13170101
485,-0.12198511
486,-0.106625244
487,-0.0858625
488,-0.061202753
489,-0.034532137
490,-0.008673021
491,0.013365908
492,0.03000348
493,0.03937257
494,0.04197742
495,0.039009035
496,0.028192634
497,0.009176092
498,-0.016412275
499,-0.046241414
500,-0.0773513
501,-0.10391696
502,-0.122534215
503,-0.13139907
504,-0.13090852
505,-0.12070284
506,-0.102180645
507,-0.077877596
508,-0.053653635
509,-0.031667944
510,-0.011948666
511,0.0037359498
512,0.01760668
513,0.031491097
514,0.046838794
515,0.06304666
516,0.078042984
517,0.09000248
518,0.098296165
519,0.104677856
520,0.10928673
521,0.113026306
522,0.11562355
523,0.11667157
524,0.1167636
525,0.114844754
526,0.10767971
527,0.09410103
528,0.07429885
529,0.050386712
530,0.025958167
531,0.0036363192
532,-0.016807755
533,-0.03504322
534,-0.051594093
535,-0.06799818
536,-0.083374016
537,-0.09794216
538,-0.109570056
539,-0.11887222
540,-0.12621903
541,-0.12860866
542,-0.12429867
543,-0.1121384
544,-0.094360776
545,-0.07237357
546,-0.047777705
547,-0.022116324
548,0.0049201106
549,0.03249729
550,0.059730705
551,0.085408814
552,0.10885931
553,0.13096668
554,0.15107688
555,0.16771826
556,0.17972946
557,0.18904227
558,0.19576773
559,0.20022601
560,0.20228554
561,0.20150599
562,0.19793299
563,0.19069037
564,0.1822902
565,0.17305496
566,0.16334514
567,0.15413044
568,0.14570138
569,0.13863976
570,0.13382404
571,0.13082142
572,0.13030349
573,0.13228698
574,0.13420962
575,0.13552384
576,0.13586304
577,0.13575353
578,0.13566986
579,0.1357809
580,0.13606687
581,0.13636044
582,0.13629046
583,0.1353877
584,0.13449407
585,0.13396473
586,0.13506143
587,0.13774386
588,0.1413625
589,0.14439858
590,0.14654635
591,0.14655547
592,0.14254591
593,0.13415182
594,0.12027881
595,0.10195512
596,0.08237046
597,0.063690834
598,0.047691356
599,0.033573456
600,0.022998147
601,0.015939575
602,0.01156723
603,0.008096126
604,0.006782673
605,0.008927396
606,0.014816257
607,0.02379215
608,0.0348177
609,0.047067717
610,0.059766453
611,0.07277777
612,0.08493272
613,0.09545935
614,0.103407755
615,0.10917113
616,0.11311681
617,0.115631156
618,0.117504366
619,0.11902545
620,0.11986812
621,0.11981641
