Date,Price,Open,High,Low,Change %
"Jan 15, 1985",301.8,301.8,301.8,301.8,0.94%
"Jan 14, 1985",299,299,299,299,-1.71%
"Jan 11, 1985",304.2,304.2,304.2,304.2,0.13%
"Jan 10, 1985",303.8,303.8,303.8,303.8,1.10%
"Jan 09, 1985",300.5,300.5,300.5,300.5,-0.50%
"Jan 08, 1985",302,302,302,302,1.27%
"Jan 07, 1985",298.2,298.2,298.2,298.2,-1.62%
"Jan 04, 1985",303.1,303.1,303.1,303.1,0.26%
"Jan 03, 1985",302.3,302.3,302.3,302.3,-1.05%
"Jan 02, 1985",305.5,305.5,305.5,305.5,-0.91%
"Dec 31, 1984",308.3,308.3,308.3,308.3,0.00%
"Dec 28, 1984",308.3,308.3,308.3,308.3,-0.29%
"Dec 27, 1984",309.2,309.2,309.2,309.2,-1.09%
"Dec 26, 1984",312.6,312.6,312.6,312.6,0.51%
"Dec 21, 1984",311,311,311,311,1.14%
"Dec 20, 1984",307.5,307.5,307.5,307.5,-0.58%
"Dec 19, 1984",309.3,309.3,309.3,309.3,0.10%
"Dec 18, 1984",309,309,309,309,-1.90%
"Dec 17, 1984",315,315,315,315,-2.33%
"Dec 14, 1984",322.5,322.5,322.5,322.5,-0.52%
"Dec 13, 1984",324.2,324.2,324.2,324.2,-0.09%
"Dec 12, 1984",324.5,324.5,324.5,324.5,-0.67%
"Dec 11, 1984",326.7,326.7,326.7,326.7,0.15%
"Dec 10, 1984",326.2,326.2,326.2,326.2,-0.24%
"Dec 07, 1984",327,327,327,327,-1.12%
"Dec 06, 1984",330.7,330.7,330.7,330.7,0.24%
"Dec 05, 1984",329.9,329.9,329.9,329.9,-0.63%
"Dec 04, 1984",332,332,332,332,0.76%
"Dec 03, 1984",329.5,329.5,329.5,329.5,0.15%
"Nov 30, 1984",329,329,329,329,-0.48%
"Nov 29, 1984",330.6,330.6,330.6,330.6,0.49%
"Nov 28, 1984",329,329,329,329,-1.17%
"Nov 27, 1984",332.9,332.9,332.9,332.9,-1.19%
"Nov 26, 1984",336.9,336.9,336.9,336.9,-1.00%
"Nov 23, 1984",340.3,340.3,340.3,340.3,0.00%
"Nov 21, 1984",340.3,340.3,340.3,340.3,-0.67%
"Nov 20, 1984",342.6,342.6,342.6,342.6,-0.23%
"Nov 19, 1984",343.4,343.4,343.4,343.4,-0.46%
"Nov 16, 1984",345,345,345,345,0.38%
"Nov 15, 1984",343.7,343.7,343.7,343.7,-0.61%
"Nov 14, 1984",345.8,345.8,345.8,345.8,-1.31%
"Nov 13, 1984",350.4,350.4,350.4,350.4,1.36%
"Nov 12, 1984",345.7,345.7,345.7,345.7,-0.32%
"Nov 09, 1984",346.8,346.8,346.8,346.8,-0.09%
"Nov 08, 1984",347.1,347.1,347.1,347.1,-0.14%
"Nov 07, 1984",347.6,347.6,347.6,347.6,1.52%
"Nov 06, 1984",342.4,342.4,342.4,342.4,0.00%
"Nov 05, 1984",342.4,342.4,342.4,342.4,-0.20%
"Nov 02, 1984",343.1,343.1,343.1,343.1,2.79%
"Nov 01, 1984",333.8,333.8,333.8,333.8,0.09%
"Oct 31, 1984",333.5,333.5,333.5,333.5,-0.60%
"Oct 30, 1984",335.5,335.5,335.5,335.5,-0.21%
"Oct 29, 1984",336.2,336.2,336.2,336.2,-0.41%
"Oct 26, 1984",337.6,337.6,337.6,337.6,-0.27%
"Oct 25, 1984",338.5,338.5,338.5,338.5,-0.44%
"Oct 24, 1984",340,340,340,340,0.00%
"Oct 23, 1984",340,340,340,340,0.47%
"Oct 22, 1984",338.4,338.4,338.4,338.4,-0.32%
"Oct 19, 1984",339.5,339.5,339.5,339.5,0.00%
"Oct 18, 1984",339.5,339.5,339.5,339.5,-0.29%
"Oct 17, 1984",340.5,340.5,340.5,340.5,0.29%
"Oct 16, 1984",339.5,339.5,339.5,339.5,0.27%
"Oct 15, 1984",338.6,338.6,338.6,338.6,-0.09%
"Oct 12, 1984",338.9,338.9,338.9,338.9,0.24%
"Oct 11, 1984",338.1,338.1,338.1,338.1,0.12%
"Oct 10, 1984",337.7,337.7,337.7,337.7,-0.97%
"Oct 09, 1984",341,341,341,341,-0.81%
"Oct 08, 1984",343.8,343.8,343.8,343.8,0.00%
"Oct 05, 1984",343.8,343.8,343.8,343.8,-0.69%
"Oct 04, 1984",346.2,346.2,346.2,346.2,-0.66%
"Oct 03, 1984",348.5,348.5,348.5,348.5,0.96%
"Oct 02, 1984",345.2,345.2,345.2,345.2,-0.06%
"Oct 01, 1984",345.4,345.4,345.4,345.4,0.49%
"Sep 28, 1984",343.7,343.7,343.7,343.7,-0.43%
"Sep 27, 1984",345.2,345.2,345.2,345.2,-0.26%
"Sep 26, 1984",346.1,346.1,346.1,346.1,0.32%
